"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"IDA total","IDA","Land area (sq. km)","AG.LND.TOTL.K2","","22383900.9981079","22383900.9981079","22383900.9981079","22383900.9981079","22383900.9981079","22383900.9981079","22383900.9981079","22383900.9981079","22383900.9981079","22383900.9981079","22383900.9981079","22383900.9981079","22383900.9981079","22383500.9981079","22383240.9981079","22383240.9981079","22383240.9981079","22383240.9981079","22383240.9981079","22383240.9981079","22383240.9981079","22383240.9981079","22383240.9981079","22383240.9981079","22383240.9981079","22383240.9981079","22383240.9981079","22383240.9981079","22383240.9981079","22383240.9981079","22384120.9981079","22384120.9981079","22384120.9981079","22377198.000061","22377198.000061","22377198.000061","22377198.000061","22377198.000061","22377198.000061","22377548.000061","22377548.000061","22377548.000061","22377358.000061","22375534.9995728","22375474.9995728","22375644.9995728","22375704.9995728","22375494.9995728","22375484.9995728","22376144.9995728","22376429.9995728","22376289.9995728","22376224.9995728","22375050.9956665","22375054.9995728","22375081.9990845","22375081.9990845","22364194.9990845","","",
"IDA blend","IDB","Land area (sq. km)","AG.LND.TOTL.K2","","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","4369370","","",
"Indonesia","IDN","Land area (sq. km)","AG.LND.TOTL.K2","","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","1811570","","",
"IDA only","IDX","Land area (sq. km)","AG.LND.TOTL.K2","","18014530.9981079","18014530.9981079","18014530.9981079","18014530.9981079","18014530.9981079","18014530.9981079","18014530.9981079","18014530.9981079","18014530.9981079","18014530.9981079","18014530.9981079","18014530.9981079","18014530.9981079","18014130.9981079","18013870.9981079","18013870.9981079","18013870.9981079","18013870.9981079","18013870.9981079","18013870.9981079","18013870.9981079","18013870.9981079","18013870.9981079","18013870.9981079","18013870.9981079","18013870.9981079","18013870.9981079","18013870.9981079","18013870.9981079","18013870.9981079","18014750.9981079","18014750.9981079","18014750.9981079","18007828.000061","18007828.000061","18007828.000061","18007828.000061","18007828.000061","18007828.000061","18008178.000061","18008178.000061","18008178.000061","18007988.000061","18006164.9995728","18006104.9995728","18006274.9995728","18006334.9995728","18006124.9995728","18006114.9995728","18006774.9995728","18007059.9995728","18006919.9995728","18006854.9995728","18005680.9956665","18005684.9995728","18005711.9990845","18005711.9990845","17994824.9990845","","",
"Isle of Man","IMN","Land area (sq. km)","AG.LND.TOTL.K2","","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","570","","",
"India","IND","Land area (sq. km)","AG.LND.TOTL.K2","","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","2973190","","",
"Not classified","INX","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Land area (sq. km)","AG.LND.TOTL.K2","","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","68890","","",
"Iran, Islamic Rep.","IRN","Land area (sq. km)","AG.LND.TOTL.K2","","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","1628760","","",
"Iraq","IRQ","Land area (sq. km)","AG.LND.TOTL.K2","","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","437370","434320","434320","434320","434320","434128.0078125","434128.0078125","434128.0078125","434128.0078125","434128.0078125","434128.0078125","","",
"Iceland","ISL","Land area (sq. km)","AG.LND.TOTL.K2","","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","100250","","",
"Israel","ISR","Land area (sq. km)","AG.LND.TOTL.K2","","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","21640","","",
"Italy","ITA","Land area (sq. km)","AG.LND.TOTL.K2","","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294110","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","294140","","",
"Jamaica","JAM","Land area (sq. km)","AG.LND.TOTL.K2","","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","10830","","",
"Jordan","JOR","Land area (sq. km)","AG.LND.TOTL.K2","","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88240","88780","88780","88780","88780","88780","88780","88780","88780","88780","88780","","",
"Japan","JPN","Land area (sq. km)","AG.LND.TOTL.K2","","366700","366700","366700","366700","366700","366700","366700","366700","366700","366700","366700","366600","366600","366600","366500","366500","366400","366400","366400","366300","366400","366200","366200","364700","364600","364700","364600","364600","364600","364600","364600","364600","364600","364600","364600","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364500","364550","364555","364560","364560","364560","364560","364560","364560","364560","","",
"Kazakhstan","KAZ","Land area (sq. km)","AG.LND.TOTL.K2","","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","2699700","","",
"Kenya","KEN","Land area (sq. km)","AG.LND.TOTL.K2","","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","569140","","",
"Kyrgyz Republic","KGZ","Land area (sq. km)","AG.LND.TOTL.K2","","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","191800","","",
"Cambodia","KHM","Land area (sq. km)","AG.LND.TOTL.K2","","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","176520","","",
"Kiribati","KIR","Land area (sq. km)","AG.LND.TOTL.K2","","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","810","","",
"St. Kitts and Nevis","KNA","Land area (sq. km)","AG.LND.TOTL.K2","","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","350","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","260","","",
"Korea, Rep.","KOR","Land area (sq. km)","AG.LND.TOTL.K2","","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96460","96740","96790","96800","96820","96850","96880","96920","96990","97060","97200","97190","97310","97425.99609375","97430","97445","97489.00390625","97489.00390625","97489.00390625","","",
"Kuwait","KWT","Land area (sq. km)","AG.LND.TOTL.K2","","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","17820","","",
"Latin America & Caribbean (excluding high income)","LAC","Land area (sq. km)","AG.LND.TOTL.K2","","19050780","19050780","19050780","19050780","19050780","19050780","19050780","19050780","19050780","19050780","19050780","19050780","19050780","19050780","19050920","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19050790","19022310","19022310","19022310","19022310","19021300","19021310","19021320","19021350","19021340","19021350","19021350","19021350","19021350","19021772.9980469","19021359.0039063","19019130","19018930","19018930","19018930","19018930","19018930","","",
"Lao PDR","LAO","Land area (sq. km)","AG.LND.TOTL.K2","","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","230800","","",
"Lebanon","LBN","Land area (sq. km)","AG.LND.TOTL.K2","","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","10230","","",
"Liberia","LBR","Land area (sq. km)","AG.LND.TOTL.K2","","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","96320","","",
"Libya","LBY","Land area (sq. km)","AG.LND.TOTL.K2","","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","1759540","","",
"St. Lucia","LCA","Land area (sq. km)","AG.LND.TOTL.K2","","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","610","","",
"Latin America & Caribbean","LCN","Land area (sq. km)","AG.LND.TOTL.K2","","20071304.43125","20071304.43125","20071304.43125","20071304.43125","20071304.43125","20071304.43125","20071304.43125","20071304.43125","20071304.43125","20071304.43125","20071304.43125","20071304.43125","20071304.43125","20071304.43125","20071444.43125","20071314.43125","20071314.43125","20071314.43125","20071314.43125","20071224.43125","20071224.43125","20071224.43125","20071224.43125","20071224.43125","20071224.43125","20071224.43125","20071224.43125","20071224.43125","20071224.43125","20071224.43125","20071224.43125","20071224.43125","20071224.43125","20071224.43125","20071224.43125","20071224.43125","20071224.43125","20042744.43125","20042744.43125","20042744.43125","20042744.43125","20041734.43125","20041744.43125","20041754.43125","20041784.43125","20041774.43125","20041784.43125","20041784.43125","20041784.43125","20041784.43125","20042207.4292969","20041793.4351562","20039564.43125","20039364.43125","20039364.43125","20039364.43125","20039364.43125","20038832.03125","","",
"Least developed countries: UN classification","LDC","Land area (sq. km)","AG.LND.TOTL.K2","","17771343.9981079","17771343.9981079","17771343.9981079","17771343.9981079","17771343.9981079","17771343.9981079","17771343.9981079","17771343.9981079","17771343.9981079","17771343.9981079","17771343.9981079","17771343.9981079","17771343.9981079","17770943.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17770543.9981079","17763621.000061","17763621.000061","17763621.000061","17763621.000061","17763621.000061","17763621.000061","17763971.000061","17763971.000061","17763971.000061","17763971.000061","17762167.9995728","17762107.9995728","17762217.9995728","17762267.9995728","17762057.9995728","17762047.9995728","17762717.9995728","17763002.9995728","17762862.9995728","17762797.9995728","17762797.9995728","17762797.9995728","17762824.9990845","17762824.9990845","17762824.9990845","","",
"Low income","LIC","Land area (sq. km)","AG.LND.TOTL.K2","","12510610","12510610","12510610","12510610","12510610","12510610","12510610","12510610","12510610","12510610","12510610","12510610","12510610","12510210","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509810","12509620","12509600","12509600","12509660","12509670","12509670","12509670","12510370","12510625","12510625","12510630","12509455.9960938","12509460","12509460","12509460","12509460","","",
"Liechtenstein","LIE","Land area (sq. km)","AG.LND.TOTL.K2","","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","160","","",
"Sri Lanka","LKA","Land area (sq. km)","AG.LND.TOTL.K2","","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","62710","","",
"Lower middle income","LMC","Land area (sq. km)","AG.LND.TOTL.K2","","21940253.9981079","21940253.9981079","21940253.9981079","21940253.9981079","21940253.9981079","21940253.9981079","21940253.9981079","21940253.9981079","21940253.9981079","21940253.9981079","21940253.9981079","21940253.9981079","21940183.9981079","21940143.9981079","21940123.9981079","21939993.9981079","21939993.9981079","21939993.9981079","21939993.9981079","21939993.9981079","21939993.9981079","21939993.9981079","21939993.9981079","21939993.9981079","21939993.9981079","21939993.9981079","21939993.9981079","21939993.9981079","21939993.9981079","21939993.9981079","21940693.9981079","21940693.9981079","21940773.9981079","21933841.000061","21933831.000061","21933831.000061","21933821.000061","21933811.000061","21933801.000061","21919701.000061","21919731.000061","21919181.000061","21918691.000061","21916897.9995728","21916887.9995728","21916977.9995728","21916997.9995728","21916777.9995728","21916767.9995728","21916687.9995728","21916717.9995728","21916587.9995728","21916537.9995728","21916497.9995728","21916507.9995728","21916544.9990845","21916544.9990845","21916544.9990845","","",
"Low & middle income","LMY","Land area (sq. km)","AG.LND.TOTL.K2","","92051967.9981079","92051967.9981079","92051967.9981079","92051967.9981079","92051967.9981079","92051967.9981079","92051967.9981079","92051967.9981079","92051967.9981079","92051967.9981079","92051967.9981079","92051967.9981079","92051897.9981079","92051457.9981079","92051177.9981079","92051047.9981079","92051047.9981079","92051047.9981079","92051047.9981079","92051047.9981079","92051047.9981079","92051047.9981079","92051047.9981079","92051047.9981079","92051047.9981079","92051047.9981079","92051047.9981079","92051047.9981079","92051047.9981079","92051047.9981079","92051927.9981079","92051928.000061","92048238.000061","92036455.0020142","92033485.0020142","92033055.0020142","92033735.0020142","92007770.0020142","92014583.000061","91993203.000061","91992326.3789673","91989439.1231079","91988812.5020142","91987249.5015259","91987316.8745728","91983843.2515259","91983654.628479","91982562.6265259","91979898.2515259","91980632.2456665","91981352.2456665","91980808.2515259","91978341.269104","91976996.2593384","91977015.2632446","91977068.0147095","91977068.0147095","91966181.0147095","","",
"Lesotho","LSO","Land area (sq. km)","AG.LND.TOTL.K2","","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","30360","","",
"Late-demographic dividend","LTE","Land area (sq. km)","AG.LND.TOTL.K2","","44547515.03125","44547515.03125","44547515.03125","44547515.03125","44547515.03125","44547515.03125","44547515.03125","44547515.03125","44547515.03125","44547515.03125","44547515.03125","44547515.03125","44547475.03125","44547475.03125","44547615.03125","44547615.03125","44547615.03125","44547615.03125","44547615.03125","44547615.03125","44547615.03125","44547615.03125","44547615.03125","44547615.03125","44547615.03125","44547615.03125","44547615.03125","44547615.03125","44546625.03125","44546625.03125","44546735.03125","44546735.0341797","44543045.0341797","44538235.0341797","44535245.0341797","44534845.0341797","44535535.0341797","44538110.0341797","44544933.0322266","44523313.0322266","44522436.4111328","44522569.1552734","44522192.5341797","44522602.5341797","44522739.9072266","44519056.2841797","44518757.6611328","44517875.6591797","44517975.2832031","44518020.2783203","44518049.2773438","44517879.2773438","44518990.2832031","44518996.2792969","44519008.28125","44519022.03125","44519022.03125","44519022.03125","","",
"Lithuania","LTU","Land area (sq. km)","AG.LND.TOTL.K2","","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62680","62675","62675","62675","62673.9990234375","62673.9990234375","62675","62650","62650","62642.001953125","62642.001953125","62642.001953125","","",
"Luxembourg","LUX","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","2430","","",
"Latvia","LVA","Land area (sq. km)","AG.LND.TOTL.K2","","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196","62196.0009765625","62196.0009765625","62196.0009765625","62196.0009765625","62196.0009765625","62196.0009765625","62196.0009765625","62196.0009765625","62196.0009765625","62196.0009765625","62196.0009765625","62196.0009765625","62196.0009765625","62196.0009765625","62196.0009765625","62196.0009765625","62196.0009765625","62180","62240","62200","62180","62190","62180","62180","62180","62180","62180","","",
"Macao SAR, China","MAC","Land area (sq. km)","AG.LND.TOTL.K2","","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","25.9999990463257","27.0000004768372","27.0000004768372","27.9999995231628","27.9999995231628","28.5999989509583","29.2000007629395","29.2000007629395","29.5000004768372","29.7000002861023","29.9000000953674","29.9000000953674","30.2999997138977","30.2999997138977","30.3999996185303","30.3999996185303","30.3999996185303","30.3999996185303","","",
"St. Martin (French part)","MAF","Land area (sq. km)","AG.LND.TOTL.K2","","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","54.4","","","",
"Morocco","MAR","Land area (sq. km)","AG.LND.TOTL.K2","","446340","446340","446340","446340","446340","446340","446340","446340","446340","446340","446340","446340","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","446300","","",
"Monaco","MCO","Land area (sq. km)","AG.LND.TOTL.K2","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","","",
"Moldova","MDA","Land area (sq. km)","AG.LND.TOTL.K2","","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32870","32950","32940","32930","32930","32920","32910","32900","32880","32880","32880","32870","32880","32890","32890","32890","32890","32890","32850","32850","32860","32880","32870","32880","32890","32890","32890","","",
"Madagascar","MDG","Land area (sq. km)","AG.LND.TOTL.K2","","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581540","581795","581795","581800","581800","581800","581800","581800","581800","","",
"Maldives","MDV","Land area (sq. km)","AG.LND.TOTL.K2","","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","300","","",
"Middle East & North Africa","MEA","Land area (sq. km)","AG.LND.TOTL.K2","","11226270","11226270","11226270","11226270","11226270","11226270","11226270","11226270","11226270","11226270","11226270","11226270","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226230","11226250","11226250","11226250","11226250","11226250","11226250","11226250","11226250","11226250","11226250","11226250","11226070","11226060","11226070","11226130","11226150","11226160","11223650","11223641.9999695","11223646.9999695","11223650","11223458.0078125","11223459.0077972","11223466.007843","11223466.007843","11223466.007843","11223466.007843","","",
"Mexico","MEX","Land area (sq. km)","AG.LND.TOTL.K2","","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","1943950","","",
"Marshall Islands","MHL","Land area (sq. km)","AG.LND.TOTL.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","180","","",
"Middle income","MIC","Land area (sq. km)","AG.LND.TOTL.K2","","79541357.9981079","79541357.9981079","79541357.9981079","79541357.9981079","79541357.9981079","79541357.9981079","79541357.9981079","79541357.9981079","79541357.9981079","79541357.9981079","79541357.9981079","79541357.9981079","79541287.9981079","79541247.9981079","79541367.9981079","79541237.9981079","79541237.9981079","79541237.9981079","79541237.9981079","79541237.9981079","79541237.9981079","79541237.9981079","79541237.9981079","79541237.9981079","79541237.9981079","79541237.9981079","79541237.9981079","79541237.9981079","79541237.9981079","79541237.9981079","79542117.9981079","79542118.000061","79538428.000061","79526645.0020142","79523675.0020142","79523245.0020142","79523925.0020142","79497960.0020142","79504773.000061","79483393.000061","79482516.3789673","79479629.1231079","79479192.5020142","79477649.5015259","79477716.8745728","79474183.2515259","79473984.628479","79472892.6265259","79470228.2515259","79470262.2456665","79470727.2456665","79470183.2515259","79467711.269104","79467540.2632446","79467555.2632446","79467608.0147095","79467608.0147095","79456721.0147095","","",
